,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
5,unique,,0.001,1e-06,10,analytic_unique_2,False
6,unique,,0.001,1e-05,10,analytic_unique_2,False
7,unique,,0.001,0.0001,10,analytic_unique_2,False
8,unique,,0.001,0.001,10,analytic_unique_2,False
9,unique,,0.001,0.01,10,analytic_unique_2,False
10,unique,,0.001,0.1,10,analytic_unique_2,False
0,unique,unique,0.001,0.0,12,analytic_unique_2,True
1,unique,unique,0.001,1e-10,12,analytic_unique_2,True
2,unique,unique,0.001,1e-09,12,analytic_unique_2,True
3,unique,unique,0.001,1e-08,12,analytic_unique_2,True
4,unique,unique,0.001,1e-07,12,analytic_unique_2,True
5,unique,,0.001,1e-06,12,analytic_unique_2,False
6,unique,,0.001,1e-05,12,analytic_unique_2,False
7,unique,,0.001,0.0001,12,analytic_unique_2,False
8,unique,,0.001,0.001,12,analytic_unique_2,False
9,unique,,0.001,0.01,12,analytic_unique_2,False
10,unique,,0.001,0.1,12,analytic_unique_2,False
0,unique,,0.001,0.0,2,analytic_nonunique_1,False
1,unique,,0.001,1e-10,2,analytic_nonunique_1,False
2,unique,,0.001,1e-09,2,analytic_nonunique_1,False
3,unique,,0.001,1e-08,2,analytic_nonunique_1,False
4,unique,,0.001,1e-07,2,analytic_nonunique_1,False
5,unique,,0.001,1e-06,2,analytic_nonunique_1,False
6,unique,,0.001,1e-05,2,analytic_nonunique_1,False
7,unique,,0.001,0.0001,2,analytic_nonunique_1,False
8,unique,,0.001,0.001,2,analytic_nonunique_1,False
9,unique,,0.001,0.01,2,analytic_nonunique_1,False
10,unique,,0.001,0.1,2,analytic_nonunique_1,False
0,unique,non unique,0.001,0.0,6,analytic_nonunique_1,False
1,unique,non unique,0.001,1e-10,6,analytic_nonunique_1,False
2,unique,non unique,0.001,1e-09,6,analytic_nonunique_1,False
3,unique,non unique,0.001,1e-08,6,analytic_nonunique_1,False
4,unique,,0.001,1e-07,6,analytic_nonunique_1,False
5,unique,,0.001,1e-06,6,analytic_nonunique_1,False
6,unique,,0.001,1e-05,6,analytic_nonunique_1,False
7,unique,,0.001,0.0001,6,analytic_nonunique_1,False
8,unique,,0.001,0.001,6,analytic_nonunique_1,False
9,unique,,0.001,0.01,6,analytic_nonunique_1,False
10,unique,,0.001,0.1,6,analytic_nonunique_1,False
0,unique,,0.001,0.0,8,analytic_nonunique_1,False
1,unique,non unique,0.001,1e-10,8,analytic_nonunique_1,False
2,unique,non unique,0.001,1e-09,8,analytic_nonunique_1,False
3,unique,non unique,0.001,1e-08,8,analytic_nonunique_1,False
4,unique,,0.001,1e-07,8,analytic_nonunique_1,False
5,unique,,0.001,1e-06,8,analytic_nonunique_1,False
6,unique,,0.001,1e-05,8,analytic_nonunique_1,False
7,unique,,0.001,0.0001,8,analytic_nonunique_1,False
8,unique,,0.001,0.001,8,analytic_nonunique_1,False
9,unique,,0.001,0.01,8,analytic_nonunique_1,False
10,unique,,0.001,0.1,8,analytic_nonunique_1,False
0,unique,,0.001,0.0,10,analytic_nonunique_1,False
1,unique,non unique,0.001,1e-10,10,analytic_nonunique_1,False
2,unique,non unique,0.001,1e-09,10,analytic_nonunique_1,False
3,unique,non unique,0.001,1e-08,10,analytic_nonunique_1,False
4,unique,,0.001,1e-07,10,analytic_nonunique_1,False
5,unique,,0.001,1e-06,10,analytic_nonunique_1,False
6,unique,,0.001,1e-05,10,analytic_nonunique_1,False
7,unique,,0.001,0.0001,10,analytic_nonunique_1,False
8,unique,,0.001,0.001,10,analytic_nonunique_1,False
9,unique,,0.001,0.01,10,analytic_nonunique_1,False
10,unique,,0.001,0.1,10,analytic_nonunique_1,False
0,unique,,0.001,0.0,12,analytic_nonunique_1,False
1,unique,non unique,0.001,1e-10,12,analytic_nonunique_1,False
2,unique,non unique,0.001,1e-09,12,analytic_nonunique_1,False
3,unique,non unique,0.001,1e-08,12,analytic_nonunique_1,False
4,unique,,0.001,1e-07,12,analytic_nonunique_1,False
5,unique,,0.001,1e-06,12,analytic_nonunique_1,False
6,unique,,0.001,1e-05,12,analytic_nonunique_1,False
7,unique,,0.001,0.0001,12,analytic_nonunique_1,False
8,unique,,0.001,0.001,12,analytic_nonunique_1,False
9,unique,,0.001,0.01,12,analytic_nonunique_1,False
10,unique,,0.001,0.1,12,analytic_nonunique_1,False
